Edad,Nivel_Educativo,Experiencia_Anios,Industria,Ubicación,Género,Horas_Semanales,Sueldo_Anual
40,Máster,19,Retail,Europa,Otro,35,82553.59
25,Bachillerato,3,Educación,Europa,Otro,40,39994.68
57,Licenciatura,39,Educación,EE.UU.,Masculino,47,127124.66
48,Licenciatura,27,Tecnología,Europa,Otro,43,147354.35
65,Máster,41,Finanzas,EE.UU.,Masculino,56,199764.49
61,Licenciatura,41,Finanzas,Europa,Otro,41,173089.69
61,Licenciatura,39,Retail,Asia,Femenino,41,73530.86
37,Doctorado,13,Retail,Asia,Femenino,44,49531.8
63,Bachillerato,42,Finanzas,Asia,Otro,58,129654.03
29,Bachillerato,8,Finanzas,Asia,Femenino,44,53147.08
37,Bachillerato,15,Tecnología,Europa,Masculino,52,97647.8
44,Licenciatura,21,Salud,Europa,Masculino,44,100928.52
65,Licenciatura,47,Salud,Latinoamérica,Masculino,32,104202.1
31,Máster,7,Retail,Asia,Otro,32,41914.59
26,Licenciatura,2,Salud,Latinoamérica,Otro,60,31404.89
57,Doctorado,36,Finanzas,EE.UU.,Femenino,33,222624.01
58,Licenciatura,36,Educación,EE.UU.,Masculino,45,109662.45
60,Máster,35,Finanzas,EE.UU.,Otro,39,188351.88
38,Doctorado,19,Manufactura,Europa,Otro,55,117452.18
32,Máster,9,Salud,Asia,Femenino,56,77507.28
60,Licenciatura,42,Retail,EE.UU.,Femenino,56,137761.4
35,Licenciatura,14,Tecnología,EE.UU.,Masculino,39,112498.28
59,Licenciatura,34,Salud,Latinoamérica,Femenino,45,71970.37
35,Licenciatura,12,Finanzas,EE.UU.,Otro,43,138780.47
44,Bachillerato,21,Retail,Latinoamérica,Masculino,59,30097.26
51,Máster,31,Educación,EE.UU.,Otro,56,145601.57
52,Licenciatura,27,Retail,Asia,Femenino,46,56712.62
29,Doctorado,4,Retail,Latinoamérica,Otro,45,32169.12
44,Licenciatura,22,Manufactura,Europa,Femenino,58,85704.91
58,Máster,40,Manufactura,Asia,Femenino,43,95986.33
42,Licenciatura,24,Tecnología,Latinoamérica,Masculino,39,78273.91
43,Doctorado,21,Retail,Latinoamérica,Otro,45,45947.11
31,Máster,11,Salud,Asia,Masculino,51,76401.34
23,Doctorado,1,Manufactura,Asia,Masculino,55,61175.74
40,Licenciatura,17,Retail,EE.UU.,Otro,47,67274.81
29,Licenciatura,7,Finanzas,Asia,Masculino,30,55982.18
43,Licenciatura,18,Educación,Asia,Masculino,54,51872.34
23,Bachillerato,3,Salud,Asia,Otro,55,35462.4
63,Licenciatura,39,Manufactura,Latinoamérica,Femenino,55,77352.87
64,Licenciatura,41,Retail,Latinoamérica,Masculino,48,57992.22
64,Máster,41,Educación,Asia,Femenino,30,102073.11
65,Bachillerato,47,Retail,EE.UU.,Masculino,60,118280.74
36,Máster,16,Tecnología,Asia,Femenino,31,81721.03
60,Máster,37,Manufactura,Europa,Masculino,35,131824.7
